File Name,File Path,UUID,File Extension,Type of File,Status
201203_YachtingBlue.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/201203_YachtingBlue.pdf,7f22bea9-c7cc-5489-abcc-548e043d1ae5,.pdf,<class 'str'>,imported
200802_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200802_Palstek.pdf,f07e1761-3df4-507f-b621-6a1594f19ec3,.pdf,<class 'str'>,imported
200601_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200601_Palstek.pdf,5b743b28-b47a-5c83-b542-7007bad6acd0,.pdf,<class 'str'>,imported
200803_blauwasser.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200803_blauwasser.pdf,a64758ef-d7ef-5b56-a466-f6c703537f25,.pdf,<class 'str'>,imported
200504_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200504_Palstek.pdf,0c3650fb-bc8e-58cd-88e2-4acc927ce489,.pdf,<class 'str'>,imported
200905_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200905_Palstek.pdf,0e8a2e91-8c37-5522-b37a-5c32bdf14a2a,.pdf,<class 'str'>,imported
200703_Blauwasser.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200703_Blauwasser.pdf,8a2c02de-168a-52ea-a9de-e39c7fcc06d5,.pdf,<class 'str'>,imported
200703_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200703_Palstek.pdf,e6084700-2f3c-544b-bbec-23e0ffeedf21,.pdf,<class 'str'>,imported
200406_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200406_Palstek.pdf,ae9712b9-19be-5ddb-94d6-71c32299108f,.pdf,<class 'str'>,imported
200704_Blauwasser.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200704_Blauwasser.pdf,256f38d7-7c59-56d3-ba0c-d3e4cc72f492,.pdf,<class 'str'>,imported
200412_Inhaltsverzeichnis-Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200412_Inhaltsverzeichnis-Palstek.pdf,e374d9c1-8904-5965-91e6-97adaf32c3ea,.pdf,<class 'str'>,imported
200901_Blauwasser.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200901_Blauwasser.pdf,91df6632-65ef-5079-aa84-b8cd55e16a7f,.pdf,<class 'str'>,imported
200501_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200501_Palstek.pdf,10a9cbc6-89f7-5f9f-a9b9-4f95c23f5830,.pdf,<class 'str'>,imported
200604_Palstek.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200604_Palstek.pdf,b98352a7-a464-5a96-b4b9-9c3b8287056e,.pdf,<class 'str'>,imported
200407_100JahreYacht.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200407_100JahreYacht.pdf,d4b84572-15b9-5621-aa0b-1263b5d29d39,.pdf,<class 'str'>,imported
201103_Yachtingblue.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/201103_Yachtingblue.pdf,2472302b-f067-56b7-88a2-b6da4815277a,.pdf,<class 'str'>,imported
201303_Yachting-blue.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/201303_Yachting-blue.pdf,6b1413a5-c070-5314-b81f-28d0010846d8,.pdf,<class 'str'>,imported
Life under sail-Magazin.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/Life under sail-Magazin.pdf,49dd305a-98df-5c63-a507-a5080b956f6e,.pdf,<class 'str'>,imported
200108_Blauwasser.pdf,/Users/swmoeller/python/2023/large_language_model/BrainGPT/data/10_raw/doc2scan/200108_Blauwasser.pdf,173899a5-c3a3-55f8-95e0-b0c81f4e8637,.pdf,<class 'str'>,imported
